neighbourhood_group,neighbourhood
,嘉定区 / Jiading District
,奉贤区 / Fengxian District
,宝山区 / Baoshan District
,崇明区 / Chongming District
,徐汇区 / Xuhui District
,普陀区 / Putuo District
,杨浦区 / Yangpu District
,松江区 / Songjiang District
,浦东新区 / Pudong
,虹口区 / Hongkou District
,金山区 / Jinshan District
,长宁区 / Changning District
,闵行区 / Minhang District
,青浦区 / Qingpu District
,静安区 / Jing'an District
,黄浦区 / Huangpu District
